epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.1052,1.29485,2.779,1.50657,0.96242,0.18507,0.70696,0.46167,1.12384,3.01988,1.48368,0.00043342,0.00043342,0.00043342
2,25.4925,1.27529,1.99439,1.48471,0.91036,0.51523,0.82473,0.50813,1.13881,2.81564,1.50801,0.000866017,0.000866017,0.000866017
3,37.8735,1.22865,1.81344,1.44457,0.43079,0.69573,0.68299,0.34901,1.43512,2.98377,1.74839,0.00128079,0.00128079,0.00128079
4,50.1798,1.35077,1.91847,1.55509,0.69721,0.75188,0.81315,0.49388,1.25937,2.24994,1.56721,0.00156798,0.00156798,0.00156798
5,62.6017,1.26805,1.85811,1.50469,0.71595,0.60516,0.68529,0.3831,1.49379,2.48618,1.74335,0.00153497,0.00153497,0.00153497
6,74.9824,1.31752,1.74637,1.52501,0.78554,0.79989,0.85172,0.51229,1.28767,2.05147,1.59238,0.00150197,0.00150197,0.00150197
7,87.9124,1.24517,1.55123,1.46993,0.77667,0.80451,0.87329,0.54826,1.20658,2.14638,1.50759,0.00146896,0.00146896,0.00146896
8,100.236,1.26255,1.45283,1.42182,0.77136,0.72427,0.90255,0.5523,1.21152,2.59942,1.53437,0.00143595,0.00143595,0.00143595
9,112.445,1.18576,1.36041,1.39867,0.83965,0.8448,0.88722,0.50224,1.48697,1.90808,1.89727,0.00140295,0.00140295,0.00140295
10,124.597,1.18094,1.30986,1.3554,0.87984,0.86654,0.9268,0.5951,1.16231,1.53225,1.44686,0.00136994,0.00136994,0.00136994
11,136.857,1.15947,1.33522,1.4305,0.90774,0.93112,0.97292,0.6854,1.05527,1.28152,1.33882,0.00133693,0.00133693,0.00133693
12,149.026,1.18016,1.27577,1.38345,0.94294,0.94945,0.98868,0.68952,1.04166,1.22023,1.309,0.00130393,0.00130393,0.00130393
13,161.187,1.2016,1.17583,1.3572,0.90677,0.97838,0.97967,0.64085,1.11467,1.29413,1.33132,0.00127092,0.00127092,0.00127092
14,173.317,1.15055,1.18515,1.34098,0.89728,0.92867,0.97773,0.69254,1.03922,1.3829,1.31575,0.00123791,0.00123791,0.00123791
15,185.506,1.1448,1.1388,1.32999,0.88737,0.89286,0.95645,0.60153,1.20389,1.41737,1.42894,0.00120491,0.00120491,0.00120491
16,197.627,1.0907,1.10344,1.30482,0.88061,0.87904,0.9492,0.64372,1.09536,1.2496,1.36136,0.0011719,0.0011719,0.0011719
17,209.77,1.09656,1.07976,1.32774,0.95419,0.98375,0.98791,0.69997,1.04631,0.9687,1.30761,0.00113889,0.00113889,0.00113889
18,221.911,1.12865,1.08944,1.38053,0.93738,0.9765,0.98851,0.70747,1.03111,0.93398,1.28087,0.00110589,0.00110589,0.00110589
19,234.046,1.08928,1.05918,1.32518,0.95132,0.97804,0.98763,0.70848,0.96424,0.951,1.23156,0.00107288,0.00107288,0.00107288
20,246.189,1.06526,0.96147,1.30892,0.92069,0.96093,0.97231,0.69327,0.93726,0.9505,1.2182,0.00103987,0.00103987,0.00103987
21,258.366,1.05807,0.95783,1.2797,0.95495,0.99342,0.98746,0.74866,0.88038,0.86125,1.17735,0.00100687,0.00100687,0.00100687
22,270.5,1.09251,0.9679,1.33569,0.95547,0.96481,0.98594,0.73631,0.86943,0.81831,1.17214,0.000973861,0.000973861,0.000973861
23,282.634,0.96613,0.84786,1.22571,0.98207,0.99893,0.995,0.75682,0.83938,0.73598,1.11997,0.000940855,0.000940855,0.000940855
24,294.753,1.01643,0.87311,1.24279,0.97447,0.98988,0.99276,0.75494,0.8267,0.77324,1.13151,0.000907848,0.000907848,0.000907848
25,306.863,1.02743,0.93495,1.27332,0.97767,0.9859,0.99416,0.72475,0.94833,0.79194,1.21828,0.000874842,0.000874842,0.000874842
26,318.953,1.06995,0.85132,1.27254,0.97603,0.99797,0.99266,0.77516,0.81286,0.70413,1.10529,0.000841835,0.000841835,0.000841835
27,331.019,1.0268,0.86878,1.27338,0.96681,0.9897,0.98849,0.72405,0.95942,0.75677,1.18205,0.000808828,0.000808828,0.000808828
28,343.101,0.99208,0.84978,1.24501,0.98189,0.99638,0.99425,0.76826,0.81367,0.65852,1.11433,0.000775822,0.000775822,0.000775822
29,355.154,0.965,0.81334,1.24069,0.98624,0.99504,0.99489,0.78699,0.77776,0.6473,1.09785,0.000742815,0.000742815,0.000742815
30,367.243,0.99478,0.82749,1.25064,0.99743,1,0.995,0.77888,0.77928,0.64636,1.09284,0.000709809,0.000709809,0.000709809
31,379.372,0.92808,0.754,1.18522,0.99707,0.99788,0.995,0.79368,0.75046,0.61352,1.0817,0.000676802,0.000676802,0.000676802
32,391.452,0.90763,0.73726,1.19625,0.99454,1,0.995,0.81473,0.72827,0.58345,1.04169,0.000643795,0.000643795,0.000643795
33,403.553,0.88381,0.71194,1.15857,0.99184,1,0.9947,0.815,0.69923,0.56669,1.03686,0.000610789,0.000610789,0.000610789
34,415.612,0.88666,0.70656,1.16174,0.99394,1,0.99493,0.80342,0.72505,0.58262,1.04479,0.000577782,0.000577782,0.000577782
35,427.674,0.93093,0.74488,1.21096,0.99288,0.99899,0.995,0.80279,0.71665,0.55423,1.02037,0.000544776,0.000544776,0.000544776
36,439.729,0.85643,0.70702,1.14607,0.99464,0.99876,0.99407,0.82762,0.64585,0.52073,0.9922,0.000511769,0.000511769,0.000511769
37,451.789,0.89665,0.7017,1.19445,0.99052,0.99281,0.99405,0.83139,0.63208,0.52755,0.98303,0.000478762,0.000478762,0.000478762
38,463.828,0.85221,0.71017,1.15805,0.99446,0.99256,0.99496,0.81613,0.66388,0.52604,0.99725,0.000445756,0.000445756,0.000445756
39,475.881,0.85316,0.67658,1.15042,0.99828,1,0.995,0.83303,0.63466,0.49377,0.97775,0.000412749,0.000412749,0.000412749
40,487.944,0.78995,0.59975,1.11478,0.99937,1,0.995,0.82496,0.63059,0.48174,0.97672,0.000379743,0.000379743,0.000379743
41,500.359,0.71902,0.65766,1.08863,0.99806,1,0.995,0.82516,0.64584,0.50601,0.97715,0.000346736,0.000346736,0.000346736
42,513.831,0.71336,0.61808,1.07178,0.99917,1,0.995,0.83367,0.62508,0.51805,0.96227,0.000313729,0.000313729,0.000313729
43,526.555,0.71698,0.70406,1.12815,0.99883,1,0.995,0.8389,0.59994,0.48985,0.95408,0.000280723,0.000280723,0.000280723
44,538.655,0.69069,0.56203,1.03219,0.99879,1,0.995,0.85101,0.60423,0.46677,0.95372,0.000247716,0.000247716,0.000247716
45,551.518,0.68714,0.55491,1.09824,0.99882,1,0.995,0.84801,0.59931,0.46752,0.9519,0.00021471,0.00021471,0.00021471
46,564.446,0.65236,0.53047,1.02139,0.99865,1,0.995,0.84754,0.59873,0.46891,0.95144,0.000181703,0.000181703,0.000181703
47,577.301,0.62239,0.56189,1.01438,0.99876,1,0.995,0.853,0.56637,0.45232,0.93472,0.000148696,0.000148696,0.000148696
48,589.537,0.60371,0.51264,0.98976,0.99875,1,0.995,0.86121,0.54762,0.43713,0.92593,0.00011569,0.00011569,0.00011569
49,601.612,0.59481,0.49626,1.01284,0.99893,1,0.995,0.85948,0.53733,0.42412,0.92089,8.26832e-05,8.26832e-05,8.26832e-05
50,613.658,0.66654,0.52941,1.03149,0.99897,1,0.995,0.8637,0.53473,0.42014,0.91907,4.96766e-05,4.96766e-05,4.96766e-05
